OrderID,Year,State,Category,ProductName,Brand,PaymentMethod,OrderStatus,Quantity,TotalAmount,Tax,ShippingCost
19,2024,IN,Electronics,Electric Kettle,CoreTech,Debit Card,Cancelled,55,16659.64,31.59,168.95
20,2024,TX,Books,Water Bottle,KiddoFun,Debit Card,Delivered,68,9822.7,14.58,80.29
21,2020,WA,Toys & Games,LED Desk Lamp,Apex,Credit Card,Delivered,47,19846.31,33.2,117.86
22,2020,CO,Electronics,Dress Shirt,Fizzle,Cash on Delivery,Returned,60,19571.81,21.2,90.68
23,2020,CA,Clothing,Jeans,Fizzle,Debit Card,Delivered,64,21326.8,34.3,161.05
24,2023,WA,Toys & Games,Dress Shirt,Fizzle,Debit Card,Delivered,51,9117.1,12.08,156.28
25,2020,CA,Books,Smartwatch,NextPro,Cash on Delivery,Delivered,63,13097.24,18.55,126.0
26,2022,IN,Home & Kitchen,Jeans,NextPro,UPI,Delivered,34,11401.47,22.95,145.7
27,2020,WA,Clothing,Gaming Mouse,Fizzle,Cash on Delivery,Delivered,51,12185.83,23.47,161.83
28,2021,OH,Sports & Outdoors,Jeans,CoreTech,UPI,Delivered,44,16955.73,33.77,181.05
29,2024,WA,Clothing,Water Bottle,Apex,Net Banking,Delivered,66,14640.02,16.68,165.07
30,2021,TX,Books,Smartwatch,Apex,Amazon Pay,Returned,44,8931.65,26.86,150.61
31,2023,CA,Clothing,Jeans,ReadMore,Net Banking,Pending,60,18749.84,20.9,110.47
32,2023,NC,Toys & Games,LED Desk Lamp,BrightMax,UPI,Delivered,31,11392.17,29.58,139.69
33,2020,WA,Clothing,Gaming Mouse,HomeEase,Debit Card,Delivered,34,9621.06,32.79,172.16
34,2023,CO,Books,Smartwatch,Apex,Credit Card,Delivered,52,19917.54,9.75,115.28
35,2020,OH,Sports & Outdoors,Mechanical Keyboard,HomeEase,Credit Card,Pending,35,12044.29,28.76,153.28
36,2021,PA,Home & Kitchen,Electric Kettle,BrightMax,Cash on Delivery,Delivered,52,17798.14,30.32,185.13
37,2020,IL,Sports & Outdoors,Water Bottle,CoreTech,Credit Card,Delivered,66,20034.52,32.68,105.3
38,2020,OH,Sports & Outdoors,Memory Card 128GB,UrbanStyle,Credit Card,Delivered,52,20424.07,10.38,136.61
39,2024,PA,Toys & Games,Smartwatch,ReadMore,Credit Card,Delivered,40,10149.38,16.02,90.99
40,2024,NC,Clothing,Jeans,ReadMore,Amazon Pay,Delivered,48,19820.66,32.38,163.12
41,2024,TX,Clothing,Smartwatch,Apex,UPI,Pending,36,12404.79,10.5,82.96
42,2022,OH,Clothing,Gaming Mouse,Fizzle,Credit Card,Delivered,70,21196.87,13.91,115.6
43,2021,IN,Electronics,Electric Kettle,Fizzle,Net Banking,Delivered,57,9654.42,26.95,190.25
44,2023,WA,Books,Mechanical Keyboard,BrightMax,Credit Card,Delivered,56,10385.91,25.29,161.49
45,2020,NC,Toys & Games,Jeans,ReadMore,Credit Card,Delivered,68,20507.92,32.65,199.76
46,2024,NC,Home & Kitchen,Jeans,ReadMore,Net Banking,Delivered,62,12699.88,21.02,82.42
47,2020,IN,Clothing,Smartwatch,Zenith,Debit Card,Delivered,42,20635.8,20.94,125.75
48,2024,IN,Home & Kitchen,Kids Toy Car,BrightMax,Credit Card,Delivered,63,17531.79,19.41,167.02
49,2023,PA,Sports & Outdoors,Gaming Mouse,Apex,Net Banking,Delivered,45,17786.69,27.66,81.65
50,2021,IL,Books,LED Desk Lamp,NextPro,Net Banking,Shipped,54,19009.43,17.34,105.67
51,2023,CO,Toys & Games,Dress Shirt,BrightMax,UPI,Delivered,36,13926.77,14.11,90.21
52,2023,IN,Home & Kitchen,Gaming Mouse,NextPro,Net Banking,Cancelled,47,17247.37,18.07,157.36
53,2023,CO,Clothing,Jeans,Fizzle,Credit Card,Delivered,48,17023.92,23.82,187.08
54,2021,CO,Books,Jeans,Zenith,UPI,Delivered,47,20799.17,12.22,157.7
55,2023,OH,Sports & Outdoors,Dress Shirt,UrbanStyle,UPI,Delivered,61,21510.37,20.72,147.98
56,2023,OH,Sports & Outdoors,Smartwatch,NextPro,Credit Card,Delivered,44,14028.46,25.2,170.86
57,2024,CO,Sports & Outdoors,Electric Kettle,NextPro,Cash on Delivery,Delivered,59,14830.93,12.31,159.3
58,2023,PA,Clothing,Water Bottle,BrightMax,UPI,Delivered,63,16883.01,19.54,165.61
59,2021,CA,Home & Kitchen,LED Desk Lamp,CoreTech,Amazon Pay,Delivered,44,19650.45,22.32,105.82
60,2023,NC,Home & Kitchen,Jeans,NextPro,Cash on Delivery,Delivered,57,13579.6,33.92,119.82
61,2021,TX,Home & Kitchen,Kids Toy Car,UrbanStyle,Credit Card,Delivered,40,14089.04,18.29,167.54
62,2021,OH,Clothing,Gaming Mouse,KiddoFun,Cash on Delivery,Delivered,65,12369.55,21.31,168.68
63,2021,NC,Home & Kitchen,Water Bottle,Zenith,Amazon Pay,Delivered,63,14805.14,9.4,167.87
64,2022,IL,Home & Kitchen,Memory Card 128GB,ReadMore,Credit Card,Delivered,36,19773.57,11.7,127.71
65,2023,NC,Sports & Outdoors,Water Bottle,Fizzle,UPI,Delivered,32,15980.66,31.55,83.08
66,2022,WA,Home & Kitchen,LED Desk Lamp,Zenith,Amazon Pay,Delivered,51,17226.28,14.74,151.68
67,2022,TX,Clothing,Smartwatch,HomeEase,Cash on Delivery,Delivered,42,21431.77,32.34,173.15
68,2023,TX,Books,Electric Kettle,HomeEase,Cash on Delivery,Delivered,55,21057.95,28.75,100.69
69,2023,IN,Books,Electric Kettle,BrightMax,Net Banking,Delivered,66,19498.59,15.5,134.82
70,2022,NC,Toys & Games,Memory Card 128GB,BrightMax,Debit Card,Shipped,67,11821.92,20.22,177.88
71,2020,CA,Home & Kitchen,Water Bottle,HomeEase,Debit Card,Delivered,34,12767.76,13.84,112.17
72,2024,PA,Books,Memory Card 128GB,Apex,Net Banking,Shipped,70,20820.37,34.42,154.6
73,2023,OH,Books,Dress Shirt,KiddoFun,Credit Card,Delivered,56,9295.13,28.42,182.81
74,2021,IL,Clothing,Jeans,Zenith,Net Banking,Delivered,61,20792.38,12.94,101.39
75,2021,WA,Books,Electric Kettle,CoreTech,Cash on Delivery,Delivered,38,16788.9,28.18,138.74
76,2024,IL,Books,LED Desk Lamp,HomeEase,Net Banking,Delivered,68,12750.75,31.29,152.05
77,2023,NC,Books,Jeans,CoreTech,Credit Card,Delivered,47,10206.06,26.33,87.15
78,2024,WA,Books,LED Desk Lamp,ReadMore,Net Banking,Delivered,69,19451.2,27.9,125.53
79,2024,PA,Clothing,Electric Kettle,HomeEase,UPI,Delivered,63,20656.6,12.24,133.06
80,2024,IL,Home & Kitchen,Electric Kettle,ReadMore,Debit Card,Cancelled,51,9384.46,21.38,141.76
81,2023,CA,Electronics,Water Bottle,HomeEase,Amazon Pay,Delivered,64,13572.75,24.72,104.55
82,2023,IN,Electronics,Dress Shirt,NextPro,Amazon Pay,Delivered,30,10821.44,23.31,198.27
83,2020,TX,Toys & Games,Memory Card 128GB,BrightMax,UPI,Delivered,40,15826.16,12.15,194.2
84,2024,IN,Books,Mechanical Keyboard,Fizzle,Debit Card,Delivered,58,20414.5,20.05,190.44
85,2023,CO,Toys & Games,LED Desk Lamp,KiddoFun,Net Banking,Delivered,56,9819.56,15.64,108.06
86,2020,WA,Home & Kitchen,Gaming Mouse,KiddoFun,Cash on Delivery,Pending,58,19409.54,27.05,128.44
87,2022,PA,Electronics,LED Desk Lamp,ReadMore,Debit Card,Shipped,62,19377.13,8.71,161.46
88,2022,OH,Electronics,Jeans,HomeEase,Credit Card,Delivered,55,20855.76,27.6,127.01
89,2023,NC,Home & Kitchen,Mechanical Keyboard,ReadMore,Cash on Delivery,Pending,30,11285.5,27.38,193.28
90,2022,CO,Toys & Games,Smartwatch,NextPro,Credit Card,Shipped,64,10169.52,32.72,83.63
91,2023,IL,Electronics,Memory Card 128GB,HomeEase,Debit Card,Delivered,58,19706.74,8.98,86.93
92,2024,NC,Sports & Outdoors,Smartwatch,Apex,Credit Card,Delivered,58,13796.9,30.41,183.2
93,2024,WA,Sports & Outdoors,Dress Shirt,HomeEase,Net Banking,Shipped,61,15311.71,32.93,120.99
94,2020,TX,Sports & Outdoors,Mechanical Keyboard,BrightMax,Cash on Delivery,Delivered,65,9983.99,22.63,100.1
95,2024,CA,Clothing,Dress Shirt,CoreTech,Net Banking,Shipped,63,15397.07,20.65,190.06
96,2023,IN,Home & Kitchen,Mechanical Keyboard,HomeEase,Amazon Pay,Delivered,50,21192.86,21.83,104.37
97,2021,CO,Books,LED Desk Lamp,Fizzle,UPI,Delivered,42,17307.5,15.68,149.98
98,2022,WA,Electronics,Jeans,CoreTech,Debit Card,Shipped,58,16969.3,14.73,192.54
99,2024,NC,Clothing,Dress Shirt,Zenith,Credit Card,Delivered,67,13472.94,32.07,93.7
100,2024,CO,Sports & Outdoors,Mechanical Keyboard,KiddoFun,Credit Card,Delivered,58,19417.06,10.46,192.74
101,2021,NC,Electronics,Electric Kettle,CoreTech,Amazon Pay,Returned,61,17009.33,33.45,92.96
102,2021,CA,Clothing,Electric Kettle,Apex,Debit Card,Delivered,52,18853.99,31.76,138.53
103,2022,IL,Home & Kitchen,Jeans,Apex,UPI,Delivered,41,19262.98,12.58,109.07
104,2020,PA,Electronics,Smartwatch,UrbanStyle,Credit Card,Shipped,30,10366.0,29.83,89.15
105,2024,TX,Books,Smartwatch,HomeEase,Amazon Pay,Delivered,46,16966.52,29.51,195.74
106,2022,IN,Home & Kitchen,LED Desk Lamp,NextPro,Net Banking,Delivered,52,20261.7,23.51,95.15
107,2024,PA,Sports & Outdoors,Smartwatch,KiddoFun,Net Banking,Delivered,67,18204.28,24.85,118.74
108,2020,OH,Books,Memory Card 128GB,Zenith,Debit Card,Cancelled,42,19085.14,23.97,194.79
109,2022,WA,Electronics,Electric Kettle,Fizzle,Debit Card,Delivered,30,14212.96,29.1,150.87
110,2023,NC,Home & Kitchen,Mechanical Keyboard,KiddoFun,Amazon Pay,Delivered,67,20314.72,25.5,102.22
111,2022,OH,Books,Water Bottle,NextPro,Amazon Pay,Delivered,46,8711.88,18.94,192.39
112,2024,WA,Home & Kitchen,Gaming Mouse,CoreTech,Cash on Delivery,Delivered,51,15404.56,12.83,140.58
113,2021,IN,Toys & Games,Dress Shirt,Fizzle,Debit Card,Shipped,67,20153.19,18.85,183.95
114,2022,OH,Books,Mechanical Keyboard,Fizzle,Net Banking,Shipped,41,19876.47,25.61,91.79
115,2021,NC,Home & Kitchen,Mechanical Keyboard,KiddoFun,UPI,Delivered,39,12650.93,28.74,199.79
116,2021,CO,Toys & Games,Gaming Mouse,Apex,UPI,Pending,52,9678.17,20.81,87.91
117,2024,CO,Sports & Outdoors,Water Bottle,NextPro,UPI,Delivered,59,10449.33,29.99,186.85
118,2021,TX,Clothing,Mechanical Keyboard,ReadMore,UPI,Delivered,45,15872.86,26.78,111.2
119,2020,CO,Clothing,Mechanical Keyboard,Zenith,Cash on Delivery,Pending,67,16187.26,29.82,87.74
120,2024,IL,Electronics,Kids Toy Car,HomeEase,Debit Card,Delivered,56,13046.3,9.66,125.59
121,2021,IN,Clothing,Dress Shirt,KiddoFun,Amazon Pay,Shipped,38,12351.71,32.07,110.71
122,2024,OH,Toys & Games,Water Bottle,Fizzle,UPI,Delivered,44,19479.43,32.3,188.55
123,2023,TX,Books,Memory Card 128GB,KiddoFun,Net Banking,Delivered,30,12953.91,21.86,166.72
124,2024,WA,Home & Kitchen,Kids Toy Car,ReadMore,Amazon Pay,Delivered,39,8929.62,12.34,97.23
125,2021,CA,Electronics,Dress Shirt,UrbanStyle,Credit Card,Delivered,30,21283.06,10.27,193.55
126,2023,IL,Clothing,Smartwatch,KiddoFun,Cash on Delivery,Delivered,60,12654.22,32.98,129.96
127,2020,CO,Home & Kitchen,Water Bottle,KiddoFun,Net Banking,Returned,36,18882.19,24.93,192.21
128,2021,IN,Books,Mechanical Keyboard,Zenith,UPI,Delivered,48,9902.2,28.16,187.03
129,2023,PA,Toys & Games,Dress Shirt,KiddoFun,Credit Card,Delivered,49,16640.3,18.21,162.88
130,2024,IN,Home & Kitchen,Memory Card 128GB,KiddoFun,Cash on Delivery,Delivered,64,15765.23,19.84,183.04
131,2020,IL,Toys & Games,Electric Kettle,CoreTech,Credit Card,Delivered,42,10249.61,22.13,173.63
132,2023,PA,Sports & Outdoors,Electric Kettle,CoreTech,Debit Card,Shipped,36,13110.95,32.15,82.49
133,2021,IL,Sports & Outdoors,Water Bottle,ReadMore,Amazon Pay,Shipped,52,9222.27,34.31,196.38
134,2024,IL,Books,Dress Shirt,Zenith,UPI,Delivered,42,14721.77,33.99,96.99
135,2024,NC,Home & Kitchen,Mechanical Keyboard,HomeEase,Amazon Pay,Delivered,48,15693.6,10.98,175.63
136,2024,IN,Sports & Outdoors,Gaming Mouse,Apex,Debit Card,Shipped,49,15409.31,22.2,191.58
137,2022,CA,Sports & Outdoors,Water Bottle,HomeEase,Amazon Pay,Shipped,51,21596.82,32.62,91.53
138,2021,PA,Books,Gaming Mouse,UrbanStyle,Net Banking,Shipped,61,19344.13,17.61,100.38
139,2023,IL,Sports & Outdoors,Mechanical Keyboard,NextPro,Credit Card,Delivered,60,17185.0,32.94,179.38
140,2023,IL,Clothing,Dress Shirt,ReadMore,Amazon Pay,Shipped,49,21607.86,30.74,130.67
141,2022,CO,Electronics,Kids Toy Car,UrbanStyle,Cash on Delivery,Delivered,69,10450.17,19.07,108.8
142,2024,NC,Electronics,Jeans,HomeEase,Cash on Delivery,Delivered,56,14795.46,30.54,122.92
143,2020,OH,Books,Jeans,KiddoFun,Credit Card,Shipped,30,19507.16,21.33,184.88
144,2023,PA,Home & Kitchen,Smartwatch,HomeEase,Credit Card,Returned,55,12222.0,22.17,90.91
145,2020,NC,Clothing,LED Desk Lamp,KiddoFun,Debit Card,Delivered,32,19184.04,10.61,177.7
146,2021,CO,Toys & Games,Gaming Mouse,NextPro,Debit Card,Delivered,66,9763.96,17.12,130.92
147,2020,IN,Toys & Games,Electric Kettle,UrbanStyle,Net Banking,Cancelled,31,14653.68,21.58,152.98
148,2024,IL,Clothing,Gaming Mouse,Fizzle,Debit Card,Delivered,35,17519.9,16.9,164.22
149,2023,WA,Books,Gaming Mouse,HomeEase,Amazon Pay,Delivered,30,20719.76,33.25,127.63
150,2021,OH,Home & Kitchen,Electric Kettle,NextPro,UPI,Delivered,69,17799.53,29.87,86.65
151,2022,TX,Sports & Outdoors,Kids Toy Car,CoreTech,Cash on Delivery,Delivered,60,10989.26,15.37,188.78
152,2020,CA,Clothing,Dress Shirt,HomeEase,Debit Card,Delivered,45,18088.22,23.89,154.08
153,2022,IN,Books,Memory Card 128GB,Zenith,Cash on Delivery,Shipped,51,19894.85,9.09,162.66
154,2020,OH,Clothing,Jeans,KiddoFun,Debit Card,Delivered,32,17872.19,9.18,149.94
155,2022,TX,Home & Kitchen,Water Bottle,UrbanStyle,UPI,Shipped,44,13612.61,13.86,194.35
156,2021,TX,Clothing,Memory Card 128GB,Fizzle,Net Banking,Delivered,58,19200.37,26.36,142.15
157,2021,CA,Toys & Games,LED Desk Lamp,NextPro,Debit Card,Delivered,44,9895.98,20.19,105.88
158,2023,IN,Clothing,Mechanical Keyboard,KiddoFun,Debit Card,Delivered,70,20445.77,33.99,192.12
159,2021,WA,Electronics,Jeans,KiddoFun,Amazon Pay,Delivered,44,19229.3,29.44,120.95
160,2020,CA,Toys & Games,Smartwatch,KiddoFun,Amazon Pay,Delivered,61,11741.75,18.68,109.6
161,2020,OH,Electronics,Memory Card 128GB,KiddoFun,Cash on Delivery,Delivered,37,20795.16,20.94,82.36
162,2021,CO,Toys & Games,LED Desk Lamp,Zenith,Cash on Delivery,Delivered,65,16731.24,23.23,114.85
163,2021,WA,Clothing,Smartwatch,Fizzle,Credit Card,Delivered,52,16600.57,13.58,103.63
164,2021,CA,Sports & Outdoors,Dress Shirt,BrightMax,UPI,Delivered,36,8879.04,34.1,126.26
165,2023,NC,Toys & Games,LED Desk Lamp,CoreTech,Debit Card,Delivered,36,12938.11,31.7,93.48
166,2022,WA,Books,Memory Card 128GB,Apex,Net Banking,Delivered,50,17028.05,10.69,133.85
167,2020,OH,Books,Smartwatch,UrbanStyle,Cash on Delivery,Delivered,41,21101.27,24.66,101.35
168,2022,CA,Books,LED Desk Lamp,HomeEase,UPI,Delivered,31,15871.3,18.73,84.52
169,2022,IL,Books,Smartwatch,UrbanStyle,Cash on Delivery,Delivered,62,11560.65,22.85,107.86
170,2024,OH,Books,Electric Kettle,UrbanStyle,UPI,Delivered,41,17752.4,26.39,87.55
171,2022,CA,Sports & Outdoors,LED Desk Lamp,BrightMax,UPI,Delivered,38,14734.36,20.58,172.32
172,2023,WA,Books,Jeans,BrightMax,Debit Card,Delivered,35,17974.3,31.8,187.37
173,2024,TX,Toys & Games,Dress Shirt,UrbanStyle,Debit Card,Delivered,57,13952.6,15.05,167.43
174,2020,TX,Home & Kitchen,Gaming Mouse,Apex,Debit Card,Delivered,58,15594.9,30.79,195.26
175,2021,PA,Clothing,Smartwatch,BrightMax,Net Banking,Delivered,68,13634.91,18.1,103.0
176,2024,NC,Toys & Games,Kids Toy Car,BrightMax,Debit Card,Delivered,52,15111.93,23.23,130.49
177,2021,NC,Clothing,Dress Shirt,ReadMore,Credit Card,Pending,51,10328.17,13.57,83.37
178,2024,CA,Electronics,Gaming Mouse,BrightMax,UPI,Delivered,34,10150.92,30.49,146.64
179,2023,NC,Clothing,LED Desk Lamp,Zenith,Debit Card,Shipped,35,16271.52,15.97,91.46
180,2022,WA,Electronics,Memory Card 128GB,ReadMore,Net Banking,Delivered,35,12892.07,9.94,116.18
181,2024,IN,Toys & Games,Electric Kettle,CoreTech,Debit Card,Delivered,66,10267.55,32.4,159.4
182,2021,OH,Clothing,Dress Shirt,Fizzle,Cash on Delivery,Delivered,65,18191.93,17.27,155.46
183,2020,IN,Toys & Games,Mechanical Keyboard,Apex,Credit Card,Delivered,54,11470.26,33.41,192.51
184,2022,OH,Clothing,Kids Toy Car,NextPro,Credit Card,Shipped,55,17029.39,23.88,157.07
185,2024,WA,Sports & Outdoors,Gaming Mouse,Apex,Credit Card,Delivered,52,21710.09,17.22,113.86
186,2020,CA,Clothing,Gaming Mouse,Zenith,Credit Card,Delivered,41,13829.06,26.33,131.57
187,2020,WA,Toys & Games,Kids Toy Car,NextPro,UPI,Shipped,60,9379.54,24.87,102.85
188,2024,IL,Sports & Outdoors,Water Bottle,Apex,Debit Card,Delivered,51,14656.61,15.91,147.86
189,2021,CO,Sports & Outdoors,Smartwatch,HomeEase,Cash on Delivery,Delivered,69,10152.77,24.23,183.11
190,2020,CO,Electronics,Dress Shirt,Apex,Cash on Delivery,Cancelled,62,20340.61,11.58,177.58
191,2022,TX,Sports & Outdoors,Dress Shirt,HomeEase,Net Banking,Delivered,54,14118.15,15.87,187.87
192,2020,IL,Toys & Games,Memory Card 128GB,Fizzle,UPI,Delivered,59,14189.95,16.07,102.07
193,2023,CA,Home & Kitchen,Mechanical Keyboard,NextPro,Credit Card,Returned,45,17916.82,27.51,96.65
194,2020,PA,Toys & Games,Memory Card 128GB,NextPro,Cash on Delivery,Returned,52,18891.52,27.19,194.48
195,2021,OH,Home & Kitchen,Gaming Mouse,Zenith,Credit Card,Shipped,37,20638.29,18.21,120.62
196,2023,WA,Clothing,Smartwatch,NextPro,Cash on Delivery,Delivered,62,10812.0,31.98,186.68
197,2022,CO,Electronics,Electric Kettle,KiddoFun,Cash on Delivery,Returned,38,19839.19,20.68,118.61
198,2020,PA,Clothing,Gaming Mouse,NextPro,Net Banking,Pending,40,20616.28,13.39,115.57
199,2020,TX,Home & Kitchen,Mechanical Keyboard,UrbanStyle,Credit Card,Delivered,67,13755.19,14.23,155.93
200,2024,PA,Sports & Outdoors,Gaming Mouse,KiddoFun,Cash on Delivery,Delivered,59,14407.35,10.57,104.42
201,2024,IL,Home & Kitchen,Dress Shirt,KiddoFun,Amazon Pay,Delivered,56,21292.57,19.49,116.87
202,2023,PA,Books,Gaming Mouse,NextPro,Amazon Pay,Delivered,44,20749.97,9.89,86.0
203,2021,TX,Home & Kitchen,Electric Kettle,NextPro,Credit Card,Cancelled,53,20884.61,21.54,137.88
204,2022,OH,Toys & Games,Memory Card 128GB,CoreTech,Debit Card,Delivered,62,14681.18,9.68,170.24
205,2024,OH,Sports & Outdoors,Smartwatch,ReadMore,Credit Card,Delivered,59,11400.0,31.34,93.85
206,2020,WA,Clothing,Jeans,Apex,UPI,Delivered,64,15440.8,33.48,110.71
207,2024,NC,Sports & Outdoors,LED Desk Lamp,CoreTech,Net Banking,Delivered,61,17620.66,28.25,120.09
208,2022,IN,Toys & Games,Dress Shirt,Apex,Debit Card,Delivered,54,21467.99,12.51,194.14
209,2022,NC,Books,Electric Kettle,HomeEase,Amazon Pay,Delivered,34,12890.32,28.82,174.67
210,2020,NC,Books,Electric Kettle,Fizzle,Debit Card,Delivered,50,21400.39,13.25,123.64
211,2023,OH,Home & Kitchen,Gaming Mouse,UrbanStyle,Credit Card,Pending,50,12948.79,30.22,98.56
212,2021,IN,Sports & Outdoors,Mechanical Keyboard,BrightMax,Cash on Delivery,Delivered,67,11392.06,31.85,172.47
213,2020,OH,Sports & Outdoors,Jeans,UrbanStyle,Amazon Pay,Delivered,52,16352.25,28.45,164.27
214,2023,CA,Electronics,Memory Card 128GB,CoreTech,Net Banking,Delivered,41,11487.57,27.8,161.66
215,2021,CO,Clothing,Memory Card 128GB,Apex,Cash on Delivery,Shipped,32,21705.57,18.91,150.14
216,2022,CO,Home & Kitchen,Gaming Mouse,Zenith,Credit Card,Delivered,56,13506.39,14.01,116.87
217,2020,OH,Electronics,Mechanical Keyboard,ReadMore,Credit Card,Delivered,55,14814.73,10.44,195.8
218,2021,NC,Toys & Games,Smartwatch,ReadMore,Amazon Pay,Delivered,56,18799.53,25.11,161.89
219,2023,NC,Electronics,Water Bottle,UrbanStyle,Net Banking,Delivered,45,9830.21,29.12,194.08
220,2023,CO,Sports & Outdoors,Mechanical Keyboard,Apex,Credit Card,Delivered,44,18310.97,17.6,170.22
221,2024,TX,Home & Kitchen,Water Bottle,KiddoFun,Net Banking,Shipped,61,19398.72,20.6,169.05
222,2023,PA,Clothing,Gaming Mouse,Apex,Credit Card,Delivered,38,17816.4,8.89,169.57
223,2021,NC,Home & Kitchen,LED Desk Lamp,ReadMore,Amazon Pay,Shipped,66,16805.18,18.81,117.42
224,2024,OH,Electronics,Memory Card 128GB,Fizzle,Debit Card,Delivered,43,19605.14,34.36,108.52
225,2023,PA,Clothing,Electric Kettle,ReadMore,UPI,Shipped,62,18182.8,33.86,128.18
226,2024,NC,Clothing,Mechanical Keyboard,CoreTech,Cash on Delivery,Shipped,64,14176.14,21.36,197.03
227,2020,NC,Books,LED Desk Lamp,Zenith,Debit Card,Delivered,31,11168.82,19.05,170.89
228,2021,PA,Home & Kitchen,Gaming Mouse,HomeEase,Credit Card,Delivered,44,13556.8,24.05,196.55
229,2022,IL,Sports & Outdoors,Electric Kettle,HomeEase,Cash on Delivery,Delivered,52,20405.63,25.89,170.0
230,2022,TX,Toys & Games,Memory Card 128GB,NextPro,Debit Card,Delivered,39,17410.05,31.94,94.51
231,2020,IN,Clothing,Memory Card 128GB,KiddoFun,Debit Card,Delivered,70,12207.36,19.03,95.36
232,2024,CA,Sports & Outdoors,Kids Toy Car,BrightMax,UPI,Returned,65,15002.62,11.62,152.99
233,2023,IL,Electronics,Water Bottle,NextPro,UPI,Delivered,40,10650.1,23.56,108.44
234,2021,PA,Books,Water Bottle,Zenith,Cash on Delivery,Returned,38,20650.62,19.88,197.6
235,2020,TX,Toys & Games,Mechanical Keyboard,Apex,Amazon Pay,Shipped,59,9189.36,24.17,150.07
236,2024,NC,Home & Kitchen,Electric Kettle,Zenith,UPI,Shipped,35,14199.14,20.09,170.39
237,2021,IN,Books,Water Bottle,CoreTech,Debit Card,Delivered,44,18525.74,26.17,152.28
238,2020,WA,Sports & Outdoors,Mechanical Keyboard,UrbanStyle,Cash on Delivery,Delivered,58,10727.69,21.95,154.47
239,2022,OH,Sports & Outdoors,Water Bottle,KiddoFun,Credit Card,Delivered,46,15224.7,12.46,194.71
240,2024,NC,Sports & Outdoors,Gaming Mouse,Zenith,Debit Card,Delivered,42,14963.6,18.46,183.38
241,2024,OH,Clothing,Electric Kettle,NextPro,UPI,Shipped,41,16917.86,11.77,133.22
242,2024,NC,Clothing,Gaming Mouse,HomeEase,Credit Card,Delivered,70,13873.28,24.71,111.98
243,2024,IN,Books,Gaming Mouse,NextPro,UPI,Returned,39,13660.54,12.65,102.46
244,2023,IN,Sports & Outdoors,Kids Toy Car,Zenith,Credit Card,Delivered,51,19662.97,17.95,122.13
245,2021,NC,Sports & Outdoors,Mechanical Keyboard,Fizzle,Cash on Delivery,Delivered,35,13834.67,32.22,180.61
246,2022,CO,Clothing,Water Bottle,Zenith,Amazon Pay,Delivered,70,10288.92,14.97,197.05
247,2020,PA,Books,LED Desk Lamp,Apex,Net Banking,Shipped,30,14710.06,27.18,102.65
248,2022,CO,Electronics,Water Bottle,Fizzle,Cash on Delivery,Delivered,47,19142.97,11.09,133.89
249,2021,IN,Books,Mechanical Keyboard,Zenith,Credit Card,Delivered,44,9407.96,9.11,149.08
250,2022,OH,Electronics,Mechanical Keyboard,CoreTech,Net Banking,Delivered,54,21394.88,30.68,142.62
251,2020,WA,Clothing,LED Desk Lamp,ReadMore,Amazon Pay,Delivered,70,12022.62,25.5,115.09
